Notes,MCD - ICD Sub-Chapter,MCD - ICD Sub-Chapter Code,Year,Year Code,Sex,Sex Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
Show Zero Values: True,,,,,,,,,,,,,,
Show Suppressed: False,,,,,,,,,,,,,,
Standard Population: 2000 U.S. Std. Population,,,,,,,,,,,,,,
"Calculate Rates Per: 100,000",,,,,,,,,,,,,,
Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups),,,,,,,,,,,,,,
---,,,,,,,,,,,,,,
Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information.,,,,,,,,,,,,,,
---,,,,,,,,,,,,,,
"Query Date: Apr 8, 2026 2:18:07 PM",,,,,,,,,,,,,,
---,,,,,,,,,,,,,,
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics",,,,,,,,,,,,,,
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,",,,,,,,,,,,,,,
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative",,,,,,,,,,,,,,
"Program. Accessed at http://wonder.cdc.gov/mcd-icd10.html on Apr 8, 2026 2:18:07 PM",,,,,,,,,,,,,,
---,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,
"1. Totals and sub-totals show the frequency of the selected causes of death, which may be greater than the number of deaths.",,,,,,,,,,,,,,
Note that any single death record may have up to 20 causes. More information.,,,,,,,,,,,,,,
---,,,,,,,,,,,,,,
Caveats:,,,,,,,,,,,,,,
"1. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:",,,,,,,,,,,,,,
http://wonder.cdc.gov/wonder/help/mcd.html#2014-Revision.,,,,,,,,,,,,,,
2. These items in the results table are not fully selected: Other bacterial diseases. The Query Description lists the actual,,,,,,,,,,,,,,
values selected.,,,,,,,,,,,,,,
3. The populations used to calculate standard age-adjusted rates are documented here: More information:,,,,,,,,,,,,,,
http://wonder.cdc.gov/wonder/help/mcd.html#2000 Standard Population.,,,,,,,,,,,,,,
4. The method used to calculate age-adjusted rates is documented here: More information:,,,,,,,,,,,,,,
http://wonder.cdc.gov/wonder/help/mcd.html#Age-Adjusted Rates.,,,,,,,,,,,,,,
"5. Deaths for persons of unknown age are included in counts and crude rates, but are not included in age-adjusted rates.",,,,,,,,,,,,,,
6. The method used to calculate 95% confidence intervals is documented here: More information:,,,,,,,,,,,,,,
http://wonder.cdc.gov/wonder/help/mcd.html#Confidence-Intervals.,,,,,,,,,,,,,,
"7. The population figures for year 2020 are bridged-race estimates of the July 1 resident population, from the Vintage 2020",,,,,,,,,,,,,,
"postcensal series released by NCHS on September 22, 2021. The population figures for year 2019 are bridged-race estimates of the",,,,,,,,,,,,,,
"July 1 resident population, from the Vintage 2019 postcensal series released by NCHS on July 9, 2020. The population figures for",,,,,,,,,,,,,,
"year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series released by NCHS",,,,,,,,,,,,,,
"on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the",,,,,,,,,,,,,,
"Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race",,,,,,,,,,,,,,
"estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The",,,,,,,,,,,,,,
"population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal",,,,,,,,,,,,,,
"series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident",,,,,,,,,,,,,,
"population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are",,,,,,,,,,,,,,
"bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26,",,,,,,,,,,,,,,
"2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012",,,,,,,,,,,,,,
